,number,model_name,slump,allStarts,bb,rb,judge
258,2259,マイジャグラーⅣ／ＫＥ,-71,7642,27,22,lose
259,2260,マイジャグラーⅣ／ＫＥ,290,9555,34,31,win
260,2261,マイジャグラーⅣ／ＫＥ,464,8471,34,22,win
261,2262,マイジャグラーⅣ／ＫＥ,1464,8904,34,33,win
262,2263,マイジャグラー３ＫＤ,779,5394,24,13,win
263,2264,マイジャグラー３ＫＤ,1423,8370,32,31,win
264,2265,マイジャグラー３ＫＤ,-1075,5873,16,22,lose
265,2266,マイジャグラー３ＫＤ,-1842,6552,17,0,lose
266,2267,マイジャグラー３ＫＤ,328,4912,22,0,win
267,2268,マイジャグラー３ＫＤ,-2191,6156,19,11,lose
268,2269,マイジャグラー３ＫＤ,-1508,3044,8,3,lose
269,2270,ゴーゴージャグラー２／ＫＤ,2198,8784,38,37,win
270,2271,ゴーゴージャグラー２／ＫＤ,-1372,4412,15,7,lose
271,2272,ゴーゴージャグラー２／ＫＤ,-827,3138,10,7,lose
272,2273,ゴーゴージャグラー２／ＫＤ,109,7640,27,27,win
273,2274,ゴーゴージャグラーＫＫ,-2831,3592,5,12,lose
274,2275,ゴーゴージャグラーＫＫ,-528,7674,26,31,lose
275,2276,ゴーゴージャグラーＫＫ,-2423,2912,5,3,lose
276,2277,ゴーゴージャグラーＫＫ,-1834,3299,8,6,lose
277,2278,ゴーゴージャグラーＫＫ,212,8312,35,27,win
278,2279,ゴーゴージャグラーＫＫ,-2228,2499,4,5,lose
279,2280,ゴーゴージャグラーＫＫ,-817,2468,7,7,lose
280,2281,ゴーゴージャグラーＫＫ,-414,6664,26,16,lose
281,2282,ゴーゴージャグラーＫＫ,-1774,8707,26,31,lose
282,2283,ゴーゴージャグラーＫＫ,3583,9333,45,36,win
283,2284,ゴーゴージャグラーＫＫ,1015,7157,30,23,win
284,2285,ゴーゴージャグラーＫＫ,-777,2424,5,11,lose
285,2286,ゴーゴージャグラーＫＫ,-1869,4384,9,18,lose
286,2287,ゴーゴージャグラーＫＫ,17,7602,28,22,win
287,2288,ゴーゴージャグラーＫＫ,-161,5179,19,15,lose
288,2289,ゴーゴージャグラーＫＫ,-1393,3832,10,12,lose
289,2290,ゴーゴージャグラー２／ＫＤ,2310,8613,37,32,win
290,2291,ゴーゴージャグラー２／ＫＤ,-1429,2912,7,9,lose
291,2292,ゴーゴージャグラー２／ＫＤ,-1025,8837,29,29,lose
292,2293,ゴーゴージャグラー２／ＫＤ,-1313,2954,9,5,lose
293,2294,ゴーゴージャグラー２／ＫＤ,234,6107,28,16,win
294,2295,マイジャグラー３ＫＤ,-1715,6680,16,25,lose
295,2296,マイジャグラー３ＫＤ,3064,8713,41,27,win
296,2297,マイジャグラー３ＫＤ,191,2877,11,9,win
297,2298,マイジャグラー３ＫＤ,845,8339,30,32,win
298,2299,マイジャグラー３ＫＤ,270,3851,14,12,win
299,2300,マイジャグラーⅣ／ＫＥ,2461,8549,35,29,win
300,2301,マイジャグラーⅣ／ＫＥ,-3049,5503,14,7,lose
301,2302,スーパーミラクルジャグラー／ＫＵ,-1865,7712,24,17,lose
302,2303,スーパーミラクルジャグラー／ＫＵ,4242,9028,49,27,win
303,2304,スーパーミラクルジャグラー／ＫＵ,-638,5192,17,14,lose
304,2305,スーパーミラクルジャグラー／ＫＵ,-37,8454,31,28,lose
305,2306,スーパーミラクルジャグラー／ＫＵ,-1793,4298,12,6,lose
306,2307,アイムジャグラーＥＸアニバーサリー／ＫＫ,-818,7037,22,21,lose
307,2308,アイムジャグラーＥＸ－ＡＥ／ＫＴ,515,5142,22,8,win
308,2309,アイムジャグラーＥＸ－ＡＥ／ＫＴ,209,6181,23,17,win
309,2310,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-2053,4073,9,11,lose
310,2311,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1930,6495,20,12,lose
311,2312,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-691,6284,23,12,lose
312,2313,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-747,2278,7,2,lose
313,2314,アイムジャグラーＥＸ－ＡＥ／ＫＴ,972,8217,34,23,win
314,2315,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1764,4610,11,16,lose
315,2316,アイムジャグラーＥＸ－ＡＥ／ＫＴ,136,5546,22,12,win
316,2317,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-658,5097,18,12,lose
317,2318,アイムジャグラーＥＸ－ＡＥ／ＫＴ,909,7292,29,23,win
